@relation 'generators.RandomRBFGenerator '

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute class {class1,class2}

@data

0.210372,1.009586,0.0919,0.272071,0.450117,0.226098,0.212286,0.37267,0.583146,0.297007,class2
0.688071,0.625083,0.361614,0.294849,0.46068,0.83491,0.69795,0.757025,0.794368,0.760514,class2
0.203156,0.450355,0.427302,0.519515,0.700528,0.025006,0.638194,0.433134,0.387111,0.005411,class2
0.434313,-0.039035,0.522708,-0.020806,0.791731,0.692403,0.821918,0.063943,-0.096028,0.504662,class1
0.40854,0.536533,0.301184,0.585808,0.299471,0.987396,0.138013,0.41847,-0.047781,0.834338,class1
-0.091048,-0.531434,0.781819,0.910386,0.776607,0.715839,0.244285,-0.210431,-0.294965,1.155617,class1
0.38814,0.38088,0.436877,0.057801,0.729008,0.554882,0.459865,0.44903,0.456493,0.474249,class1
0.186139,0.993126,-0.002949,0.43363,0.354143,0.306355,0.353141,0.497157,0.652577,0.283812,class2
0.401486,0.71278,0.38794,0.647276,-0.035856,0.798615,0.748183,0.827333,0.485258,-0.069007,class2
0.00719,0.189242,0.857018,0.80946,0.346298,0.792215,0.177239,0.585124,0.846321,0.307375,class1
0.416023,-0.080904,0.86174,0.758645,0.588208,1.110283,-0.108987,0.290045,1.117088,0.115806,class1
0.428329,1.022935,0.583051,0.974198,-0.170979,0.500626,0.329263,0.359639,0.341361,-0.16954,class2
0.933942,0.101,0.956034,0.970261,0.750546,0.318073,0.527639,0.559754,0.320769,0.31096,class1
0.918458,-0.147603,0.437131,1.001666,0.286892,0.508147,0.513899,0.75388,0.984248,0.261874,class1
0.410468,0.854716,0.519542,0.049962,0.355036,0.553286,0.815159,0.997976,0.409155,0.735965,class2
0.320232,-0.007606,0.492681,0.318761,0.241551,0.640803,0.518662,0.259164,0.357094,0.503487,class1
0.338095,0.584859,0.113892,0.24273,1.295554,0.680581,-0.000735,-0.106813,0.664676,0.843926,class2
0.389747,0.387634,0.428639,0.041895,0.723986,0.58248,0.44814,0.476065,0.461908,0.48111,class1
0.107195,0.672339,0.662695,0.522074,0.366782,0.976045,0.775366,0.203442,0.408475,0.690948,class1
0.350944,0.261691,0.513459,0.514018,0.450941,0.915375,0.88746,-0.03896,0.611232,0.840108,class2
0.74704,0.750798,0.839881,0.554664,0.243257,0.766192,0.719221,0.088102,0.542995,0.812881,class2
0.182708,1.117667,0.337177,0.426309,0.118418,1.010235,0.455413,1.06378,0.1682,0.304183,class2
0.210667,0.472746,0.406522,0.542836,0.717245,0.01027,0.655707,0.42144,0.394809,0.016953,class2
0.78975,0.818402,0.482535,0.33243,0.312859,0.044487,0.518325,0.307054,0.641238,0.996146,class2
0.686673,-0.242246,1.115249,0.140746,0.948505,0.391854,0.563661,-0.6701,-0.328375,0.886832,class1
0.149203,0.883357,0.694208,0.802227,0.658106,0.167437,1.059972,0.227208,0.004756,0.61412,class1
0.09425,0.928074,0.725288,0.76438,0.69812,0.141896,0.980158,0.150287,0.020473,0.694785,class1
-0.047901,0.175047,0.71227,0.804798,0.440796,0.700788,0.169473,0.315841,0.447556,0.384565,class1
0.268371,0.407562,0.135157,1.056337,0.474669,0.991713,0.833651,0.691481,0.850322,0.559689,class2
0.748509,0.744754,0.854436,0.537058,0.264723,0.743351,0.697699,0.070522,0.521292,0.81422,class2
0.601763,0.711158,0.335415,0.917229,0.15671,0.947365,0.723226,0.4876,0.869757,0.980004,class2
0.27672,0.30353,0.454327,0.744039,0.619435,0.889142,0.448011,0.077937,0.929948,0.5667,class2
0.201096,0.210983,0.300134,0.969248,0.507479,0.985807,0.870428,0.856668,0.970336,0.641177,class2
-0.060619,0.175769,0.79655,0.754294,0.597577,0.873359,0.118868,0.576317,1.012674,0.209272,class1
0.473707,0.083231,0.545323,0.060545,0.634099,0.87866,0.785434,-0.013802,0.052006,0.457558,class1
0.556623,0.515603,0.329765,0.230784,0.167445,0.634715,0.613741,1.054161,0.425318,1.056983,class2
0.525743,0.773419,0.747769,0.154322,0.276863,-0.260769,1.104672,-0.590303,-0.217305,1.068398,class1
